,n_cells_by_counts,mean_counts,pct_dropout_by_counts
RP11-380J14.4,0,0.0,100.0
PADI1,144,0.04248530646515533,97.58186397984888
PADI3,9,0.0015113350125944584,99.84886649874055
PADI4,18,0.003526448362720403,99.6977329974811
PADI6,1,0.00016792611251049538,99.98320738874895
RCC2-AS1,0,0.0,100.0
RCC2,789,0.2403022670025189,86.75062972292191
ARHGEF10L,596,0.1524769101595298,89.99160369437448
LINC02810,0,0.0,100.0
ACTL8,5,0.0011754827875734676,99.91603694374476
RP11-658E23.1,0,0.0,100.0
LINC01654,0,0.0,100.0
IGSF21,28,0.005037783375314861,99.52980688497061
IGSF21-AS1,0,0.0,100.0
RP11-422P22.1,0,0.0,100.0
KLHDC7A,3,0.0005037783375314861,99.94962216624685
PAX7,0,0.0,100.0
TAS1R2,0,0.0,100.0
ALDH4A1,270,0.06465155331654072,95.46599496221663
IFFO2,1030,0.709151973131822,82.70361041141898
RP5-1126H10.2,73,0.012762384550797649,98.77413937867338
UBR4,302,0.05860621326616289,94.92863140218304
EMC1-AS1,21,0.003526448362720403,99.64735516372795
EMC1,502,0.11435768261964735,91.57010915197313
MRTO4,768,0.1963056255247691,87.10327455919395
AKR7A3,22,0.0036943744752308983,99.6305625524769
AKR7A2,881,0.2174643157010915,85.20570948782536
SLC66A1,271,0.055415617128463476,95.44920235096558
CAPZB,2661,1.3533165407220822,55.314861460957175
MICOS10,1713,0.7486146095717884,71.23425692695213
RP5-1056L3.1,0,0.0,100.0
NBL1,2541,1.3487825356842988,57.329974811083126
HTR6,2,0.00033585222502099076,99.9664147774979
TMCO4,159,0.02938706968933669,97.32997481108312
RNF186,0,0.0,100.0
RP11-91K11.2,1,0.0005037783375314861,99.98320738874895
OTUD3,131,0.02653232577665827,97.80016792611251
PLA2G2E,0,0.0,100.0
PLA2G2A,1416,0.6409739714525609,76.22166246851386
PLA2G5,29,0.0055415617128463475,99.51301427371956
PLA2G2D,0,0.0,100.0
PLA2G2F,310,0.11553316540722082,94.79429051217464
RP3-340N1.2,2,0.00033585222502099076,99.9664147774979
PLA2G2C,31,0.005709487825356843,99.47942905121747
UBXN10,34,0.005877413937867338,99.42905121746432
LINC01757,0,0.0,100.0
RP3-340N1.7,0,0.0,100.0
VWA5B1,2,0.00033585222502099076,99.9664147774979
RP4-745E8.2,0,0.0,100.0
LINC01141,2,0.00033585222502099076,99.9664147774979
RP4-749H3.2,0,0.0,100.0
RP4-749H3.4,0,0.0,100.0
RP4-749H3.3,0,0.0,100.0
CAMK2N1,869,0.2508816120906801,85.40722082283794
MUL1,507,0.1197313182199832,91.48614609571788
FAM43B,22,0.0038623005877413937,99.6305625524769
CDA,324,0.11385390428211586,94.55919395465995
PINK1,894,0.24248530646515534,84.98740554156171
PINK1-AS,31,0.005373635600335852,99.47942905121747
DDOST,848,0.22418136020151133,85.75986565910999
KIF17,53,0.009403862300587741,99.10999160369437
SH2D5,54,0.015785054575986567,99.09319899244332
RP5-930J4.2,0,0.0,100.0
HP1BP3,2034,0.7376994122586062,65.84382871536523
EIF4G3,964,0.22031905961376994,83.81192275398824
RP3-329E20.3,0,0.0,100.0
ECE1,824,0.20772460117548278,86.16288832913519
RP3-329E20.2,0,0.0,100.0
ECE1-AS1,1,0.00016792611251049538,99.98320738874895
RP11-293F5.1,0,0.0,100.0
NBPF3,75,0.013266162888329136,98.74055415617129
ALPL,127,0.027036104114189757,97.8673383711167
LINC02596,0,0.0,100.0
RAP1GAP,75,0.01645675902602855,98.74055415617129
USP48,688,0.15331654072208228,88.44668345927792
LDLRAD2,12,0.00218303946263644,99.7984886649874
HSPG2,1928,0.6433249370277078,67.62384550797648
CELA3B,0,0.0,100.0
CELA3A,0,0.0,100.0
LINC01635,1,0.00016792611251049538,99.98320738874895
LINC00339,321,0.06448362720403022,94.60957178841309
CDC42,2410,1.1214105793450881,59.52980688497062
CDC42-AS1,22,0.0041981528127623844,99.6305625524769
CDC42-IT1,3,0.0005037783375314861,99.94962216624685
WNT4,338,0.10999160369437448,94.32409739714525
RP1-163O16.1,47,0.009235936188077247,99.21074727120067
ZBTB40,204,0.03795130142737196,96.57430730478589
ZBTB40-IT1,0,0.0,100.0
EPHA8,1,0.00016792611251049538,99.98320738874895
C1QA,1974,0.815281276238455,66.8513853904282
C1QC,1031,0.36204869857262806,82.68681780016792
C1QB,1230,0.45541561712846346,79.34508816120906
EPHB2,192,0.038790931989924435,96.7758186397985
RP11-69E9.1,0,0.0,100.0
LACTBL1,0,0.0,100.0
TEX46,1,0.00033585222502099076,99.98320738874895
KDM1A,731,0.18102434928631403,87.72460117548279
RP1-184J9.2,0,0.0,100.0
LUZP1,827,0.1889168765743073,86.11251049538204
HTR1D,1,0.00016792611251049538,99.98320738874895
LINC01355,74,0.012930310663308145,98.75734676742233
RP5-1057J7.8,1,0.00016792611251049538,99.98320738874895
HNRNPR,1506,0.529135180520571,74.71032745591938
ZNF436,331,0.06834592779177162,94.4416456759026
ZNF436-AS1,72,0.013266162888329136,98.79093198992443
RP5-1057J7.7,18,0.003022670025188917,99.6977329974811
TCEA3,741,0.18673383711167085,87.55667506297229
ASAP3,497,0.11687657430730479,91.65407220822837
E2F2,87,0.01712846347607053,98.5390428211587
RP1-150O5.3,1,0.00016792611251049538,99.98320738874895
ID3,1065,0.3240973971452561,82.11586901763224
RP1-150O5.4,0,0.0,100.0
MDS2,2,0.00033585222502099076,99.9664147774979
RPL11,4121,8.422670025188918,30.797649034424857
ELOA-AS1,47,0.00873215785054576,99.21074727120067
ELOA,566,0.1345088161209068,90.49538203190596
PITHD1,862,0.25424013434089,85.5247691015953
